CU_NUMBER,CU_NAME,CITY,STATE,TOTAL_ASSETS,TOTAL_NET_WORTH,TOTAL_COMMERCIAL_LOANS,NUMBER_OF_COMMERCIAL_LOANS,LOW_INCOME
90001,Northgate Community CU,Saint Paul,MN,486000000,53400000,55900000,214,N
90002,Bluestem Heritage CU,Rochester,MN,1240000000,142000000,138500000,486,N
90003,Iron Range Members CU,Duluth,MN,212000000,19800000,32900000,96,N
90004,Lakeshore Cooperative CU,Bemidji,MN,88000000,9600000,3100000,14,N
90005,Twin Rivers Federal CU,Minneapolis,MN,3850000000,431000000,402000000,1180,N
90006,Prairie Gate CU,Mankato,MN,342000000,38100000,12400000,58,N
90007,Cedar Valley Members CU,Saint Cloud,MN,157000000,14200000,18600000,71,N
90008,Northern Light Community CU,Moorhead,MN,264000000,24900000,4200000,19,Y
90009,Granite Ridge CU,Brainerd,MN,119000000,12800000,0,0,N
90010,Headwaters Union CU,Winona,MN,73000000,7900000,9100000,38,N
90011,Copper Creek Federal CU,Eagan,MN,678000000,71500000,71200000,268,N
90012,Meridian Plains CU,Willmar,MN,204000000,21600000,14900000,62,N
90013,Great Northern Members CU,Hibbing,MN,41000000,4500000,1800000,9,Y
90014,Sawmill District CU,Stillwater,MN,533000000,49700000,58800000,197,N
90015,Wabasha Trail CU,Red Wing,MN,96000000,10400000,6700000,27,N
